,datetime,notification_type,notification_title,email_body,outage,borough
0,12/27/2018 01:42:00 PM,Utility,Con Edison Power Outage - Gravesend (BK),"Notification issued 12-27-2018 at 1:42 PM. Con Edison is responding to a power outage in the Gravesend section of Brooklyn, including ZIP code 11223. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1,BK
1,12/21/2018 03:20:00 PM,Utility,Power Outage - Breezy Point & Roxbury (QN),"Notification issued 12-21-2018 at 3:20 PM. PSEG Long Island is responding to a power outage in the Breezy Point and Roxbury section of Queens. Report power outages to PSEG Long Island at 1-800-490-0075, or if you have a speech or hearing disability, report outages to 1-631-755-6660.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1,QN
2,12/20/2018 10:50:00 PM,Utility,Power Outage - Far Rockaway Sectiojn (QN),"Notification issued 12-20-2018 at 10:50 PM. PSEG Long Island is responding to a power outage in the Far Rockaway section of Queens, including parts of ZIP code(s): 11694. Report power outages to PSEG Long Island at 1-800-490-0075, or if you have a speech or hearing disability, report outages to 1-631-755-6660.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1,QN
3,12/20/2018 12:40:00 PM,Utility,Power Outage - Pelham Parkway (BX),"Notification issued 12-20-2018 at 12:40 PM. Con Edison is responding to a power outage in the Pelham Parkway section of The Bronx, including ZIP code(s) 10461 and 10462. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1,BX
4,12/10/2018 05:21:00 AM,Utility,Con Edison Power Outage - Hollis Section (QN),"Notification issued 12-10-2018 at 5:21 PM. Con Edison is responding to a power outage in the Hollis section of Queens, including ZIP code 11429. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1,QN
5,11/30/2018 09:04:00 PM,Utility,Power Outage - Mill Basin Section (BK),"Notification issued 11-30-2018 at 9:04 PM. Con Edison is responding to a power outage in the Mill Basin Area section of Brooklyn, including ZIP code 11234. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1,BK
6,11/25/2018 12:12:00 PM,Utility,Power Outage - East New York Section (BK),"Notification issued 11-25-2018 at 12:12 PM. Con Edison is responding to a power outage in the East New York section of Brooklyn, including ZIP code(s) 11208 and 11414. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1,BK
7,11/24/2018 11:08:00 PM,Utility,Con Edison Power Outage - Jamaica Section (QN),"Notification issued 11-24-2018 at 11:05 PM. Con Edison is responding to a power outage in the Jamaica Section of Queens, including ZIP code(s) 11433. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1,QN
8,10/29/2018 12:33:00 PM,Utility,Power Outage - Bergen Beach (BK),"Notification issued 10-29-2018 at 12:33 PM. Con Edison is responding to a power outage in the Bergen Beach section of Brooklyn, including ZIP code 11234. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1,BK
9,10/29/2018 12:12:00 PM,Utility,Power Outage - Howard Beach Section (QN),"Notification issued 10-29-2018 at 12:12 PM. Con Edison is responding to a power outage in the Howard Beach section of Queens, including ZIP code 11414. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1,QN
10,10/23/2018 10:38:00 AM,Utility,Con Edison Power Outage - Riverdale Section (BX),"Notification issued 10-23-2018 at 10:38 AM. Con Edison is responding to a power outage in the Riverdale section of The Bronx, including ZIP code 10463. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1,BX
11,10/22/2018 04:05:00 PM,Utility,Power Outage - Maspeth (QN),"Notification issued 10-22-2018 at 4:05 PM. Con Edison is responding to a power outage in the Maspeth section of Queens, including ZIP code 11378. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1,QN
12,10/21/2018 04:25:00 PM,Utility,Power Outage - New Dorp (SI),"Notification issued 10-21-2018 at 4:25 PM. Con Edison is responding to a power outage in the New Dorp section of Staten Island, including ZIP code 10306. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.
If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1,SI
13,10/17/2018 08:30:00 PM,Utility,Power Outage - Riverdale Section (BX),"Notification issued 10-17-2018 at 8:30 PM. Con Edison is responding to a power outage in the Riverdale section of The Bronx, including ZIP code(s) 10463. Report power outages to Con Edison at 1-800-752-6633, or if you have a speech or hearing disability, report outages to 1-800-642-2308. Please see http://www.coned.com/ for more information.

If you are affected by the outage, turn off all appliances, avoid downed and hanging power lines, and keep refrigerator and freezer doors closed to prevent food spoilage. Do not use generators indoors. If you are having a life threatening medical emergency and need immediate assistance, please dial 9-1-1.",1,BX
